                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45103,                 1.0667,                0.99128,                0.58005,                0.93424,                0.73758,                0.67818,                0.39338,                 12.501,                0.86043,             0.00010223,             0.00010223,             0.00010223
                     37,                0.43844,                 1.1035,                0.99859,                0.57759,                0.90564,                0.76493,                0.71533,                0.39527,                 12.353,                0.85772,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     38,                0.42704,                  1.042,                0.99224,                0.59091,                0.89484,                 0.7419,                0.68338,                0.38036,                  13.23,                0.85848,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     39,                0.42152,                 1.0486,                0.99333,                 0.5957,                0.90205,                0.75968,                0.70651,                0.37732,                 14.086,                0.85712,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     40,                0.41507,                 1.0023,                0.97524,                0.60338,                0.90398,                0.81265,                0.74559,                0.38858,                 12.563,                0.86425,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     41,                0.37525,                 1.2623,                0.93533,                0.60216,                 0.8942,                0.76496,                0.70384,                0.39238,                 11.595,                0.86083,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     42,                0.36934,                 1.2658,                0.94214,                0.61956,                0.88071,                0.79691,                0.73417,                0.38608,                 12.091,                0.85969,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     43,                0.35028,                 1.1513,                0.91388,                0.60494,                0.88812,                0.79095,                0.73091,                0.37647,                 12.634,                0.86002,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     44,                0.34305,                 1.1629,                0.92735,                 0.5871,                0.90056,                0.78989,                0.73362,                0.37911,                 12.204,                0.85697,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     45,                0.32813,                 1.1253,                0.90196,                0.58618,                0.90312,                0.78716,                0.72777,                0.37666,                 12.746,                  0.862,              4.289e-05,              4.289e-05,              4.289e-05
                     46,                 0.3312,                 1.0857,                0.91068,                0.58962,                0.90477,                0.78264,                0.72456,                0.37772,                 12.976,                0.85998,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     47,                0.33033,                 1.1101,                0.92012,                0.58489,                0.91005,                0.78749,                0.72795,                0.37373,                 12.664,                0.85516,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     48,                0.31996,                 1.0992,                0.91946,                0.59116,                0.89932,                0.77559,                0.71747,                0.37305,                 13.002,                0.85557,              2.311e-05,              2.311e-05,              2.311e-05
                     49,                0.31674,                 1.0643,                 0.9085,                0.59384,                0.89584,                0.77987,                 0.7276,                0.37535,                 13.188,                0.85623,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     50,                 0.3256,                 1.0784,                0.92075,                0.59047,                0.89684,                0.77735,                0.72401,                0.37412,                 13.192,                0.85553,             9.9234e-06,             9.9234e-06,             9.9234e-06
